subj,block,trial,reach_dur_s,grasp_dur_s,pull_dur_s,mvt_dur_s,peak_reach_vel,peak_pull_vel,reach_beta_db,grip_beta_db,reach_lowbeta_db,reach_highbeta_db
wue02,2,7,1.3725,1.2025,1.21,3.785,0.391711476217904,0.55442570276167,-0.2811519,0.3224033,-0.01575609,-1.144603
wue02,2,8,1.25,1.3125,1.19,3.7525,0.474824474916374,0.49918904531453,1.101245,0.3778554,-0.0543479,2.664746
wue02,2,9,1.4375,1.1325,1.325,3.895,0.426597177849622,0.478337255216964,0.2838301,1.933711,0.6530429,-0.9415633
wue02,2,10,1.58,1.1175,1.37,4.0675,0.330594463371163,0.444474901435398,0.2546655,0.5713054,-0.1159517,0.6395474
wue02,3,1,1.4775,0.9675,1.0775,3.5225,0.491729351473126,0.607562645084465,0.2107487,-0.7986356,1.545245,0.0550615
wue02,3,2,1.305,1.485,1.1525,3.9425,0.443463671458466,0.562618424646656,1.087485,2.042407,2.87255,-1.304407
wue02,3,3,1.3575,1.4875,1.035,3.88,0.468385472477435,0.602965691667891,0.6011778,-0.5229115,1.589057,-0.6817616
wue02,3,4,1.2525,1.2675,1.1525,3.6725,0.456893965571181,0.503640781249274,-2.252051,0.1905935,-1.842937,-2.840412
wue02,3,5,1.275,1.2275,1.1325,3.635,0.443309285845152,0.581242792834959,-1.292706,-0.2698782,0.2442713,-2.717325
wue02,3,6,1.12,1.3175,1.145,3.5825,0.493065861730211,0.521781058690054,-1.252075,-0.6489593,0.02462733,-3.082622
wue02,3,7,1.4475,1.1775,1.44,4.065,0.397176374855016,0.432565545122777,-1.685144,1.670423,-1.336678,-2.398098
wue02,3,8,1.3475,1.2,1.2675,3.815,0.437613763382487,0.482980794783883,-1.436969,-2.909461,-1.388146,-1.010107
wue02,3,9,1.2475,1.2075,1.2025,3.6575,0.423766007713675,0.490111746136299,-1.049194,-0.4267666,0.02709248,-2.081519
wue02,3,10,1.2925,1.1725,1.1875,3.6525,0.469429039554294,0.524615118037529,0.9292846,-1.132574,1.534676,-0.06612857
wue03,1,1,1.59,0.9775,1.1225,3.69,0.358693342933159,0.449818778119667,-3.988228,-2.608135,-2.92389,-5.554335
wue03,1,2,1.305,1.005,1.2775,3.5875,0.395376088668743,0.430458231355312,-1.304725,2.956694,-0.7999787,-0.4543868
wue03,1,3,1.36,1.0325,1.1225,3.515,0.415311025946894,0.436721575946592,-2.493481,1.829396,-1.381247,-2.047937
wue03,1,4,1.3675,1.3675,1.1275,3.8625,0.337070368875589,0.37446221123752,1.514864,-1.150736,2.240603,2.188017
wue03,1,5,1.49,1.265,1.2875,4.0425,0.332246883952721,0.34742112331038,-0.4456729,-0.3454326,-0.3161621,-0.5823327
wue03,1,6,1.505,1.1375,1.16,3.8025,0.343796593118407,0.377327584407792,-1.752462,-0.9287205,0.02818257,-1.67541
wue03,1,7,1.44,1.295,1.1675,3.9025,0.328007412311932,0.352210327681708,-0.8707739,4.776164,0.8126276,-0.2158797
wue03,1,8,1.335,0.9275,1.35,3.6125,0.356681200124514,0.341116216942872,0.3820154,-0.05378412,0.3569741,1.408296
wue03,1,9,1.395,0.9825,1.37,3.7475,0.345143873970627,0.368787480479448,-2.029331,-0.3176298,-2.179967,-1.506987
wue03,1,10,1.745,0.835,1.48,4.06,0.311250886904717,0.346787991700709,-0.5007252,0.3993985,1.331702,-3.090607
wue03,3,1,1.61,1.095,1.2375,3.9425,0.326273812799525,0.366103390301844,-1.232639,2.443624,0.352937,-2.105316
wue03,3,2,1.5325,1.2475,1.305,4.085,0.355783795665165,0.371679095802876,2.135645,2.812969,4.199982,0.2412726
wue03,3,3,1.53,1.095,1.3425,3.9675,0.30615988282461,0.307933973163369,0.6386549,0.7447991,2.198689,1.067581
wue03,3,4,1.62,1.2875,1.34,4.2475,0.30071059680545,0.371978696718774,0.9886532,1.202621,2.981251,-1.686294
wue03,3,5,1.6425,1.3425,1.63,4.615,0.295867984358323,0.233777055152641,3.891594,-0.2173714,6.796445,-2.766262
wue03,3,6,1.495,1.0825,1.415,3.9925,0.294512620338059,0.323680097773244,3.445634,2.309795,4.162993,4.653356
wue03,3,7,1.4225,1.49,1.4,4.3125,0.327332050176913,0.329425125854559,-0.8904582,-0.6186338,0.1532988,-1.979459
wue03,3,8,1.6475,1.06,1.535,4.2425,0.31920815798861,0.325590942657846,3.741144,4.310542,5.891056,0.8447094
